平台,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,类型可选值列表,阶段可选值列表,平台
,/主干/发现音乐/主播电台(#13),网易云系统_发现音乐_主播电台_亲子电台,用户存在，且在有网络的情况下,"1.  用户登录网易云
2. 点击发现音乐和主播电台
3.选择亲子，点击任意优秀新电台并订阅                             ","1. 成功进入网易云首页
2. 弹出主播电台界面
3.弹出有关亲子的优秀新电台和亲子电台排行榜，订阅成功",亲子电台,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/主播电台(#13),网易云系统_发现音乐_主播电台_新闻电台,用户存在，且在有网络的情况下,"1.  用户登录网易云
2. 点击发现音乐和主播电台
3.选择新闻，点击任意优秀新电台并订阅                             ","1. 成功进入网易云首页
2. 弹出主播电台界面
3.弹出有关新闻的优秀新电台和新闻电台排行榜，订阅成功",新闻电台,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/主播电台(#13),网易云系统_发现音乐_主播电台_广播剧电台,用户存在，且在有网络的情况下,"1.  用户登录网易云
2. 点击发现音乐和主播电台
3.选择广播剧，点击任意优秀新电台并订阅                             ","1. 成功进入网易云首页
2. 弹出主播电台界面
3.弹出有关广播剧的优秀新电台和广播剧电台排行榜，订阅成功",广播剧电台,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/主播电台(#13),网易云系统_发现音乐_主播电台_故事电台,用户存在，且在有网络的情况下,"1.  用户登录网易云
2. 点击发现音乐和主播电台
3.选择故事，点击任意优秀新电台并订阅                             ","1. 成功进入网易云首页
2. 弹出主播电台界面
3.弹出有关故事的优秀新电台和故事电台排行榜，订阅成功",故事电台,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/主播电台(#13),网易云系统_发现音乐_主播电台_人文历史电台,用户存在，且在有网络的情况下,"1.  用户登录网易云
2. 点击发现音乐和主播电台
3.选择人文历史，点击任意优秀新电台并订阅                             ","1. 成功进入网易云首页
2. 弹出主播电台界面
3.弹出有关人文历史的优秀新电台和人文历史电台排行榜，订阅成功",人文历史电台,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/主播电台(#13),网易云系统_发现音乐_主播电台_娱乐电台,用户存在，且在有网络的情况下,"1.  用户登录网易云
2. 点击发现音乐和主播电台
3.选择娱乐，点击任意优秀新电台并订阅                             ","1. 成功进入网易云首页
2. 弹出主播电台界面
3.没有弹出与娱乐相关的优秀新电台和生活电台排行榜",娱乐电台,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/主播电台(#13),网易云系统_发现音乐_主播电台_相声曲艺电台,用户存在，且在有网络的情况下,"1.  用户登录网易云
2. 点击发现音乐和主播电台
3.选择相声曲艺，点击任意电台排行榜并订阅                             ","1. 成功进入网易云首页
2. 弹出主播电台界面
3.弹出有关相声曲艺的电台排行榜，订阅成功",相声曲艺电台,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/主播电台(#13),网易云系统_发现音乐_主播电台_其他电台,用户存在，且在有网络的情况下,"1.  用户登录网易云
2. 点击发现音乐和主播电台
3.选择其他，点击任意优秀新电台并订阅                             ","1. 成功进入网易云首页
2. 弹出主播电台界面
3.弹出有关其他的优秀新电台，订阅成功",其他电台,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/主播电台(#13),网易云系统_发现音乐_主播电台_常见问题,用户存在，且在有网络的情况下,"1.  用户登录网易云
2. 点击发现音乐和主播电台
3.点击常见问题                       ","1. 成功进入网易云首页
2. 弹出主播电台界面
3.弹出云村电台使用指南",常见问题,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/主播电台(#13),网易云系统_发现音乐_主播电台_我要做主播,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击主播电台，选择我要做主播
3.点击发布声音，填写实名验证                               ","1.成功进入网易云首页
2. 弹出达人创作者中心界面
3.弹出实名验证界面，成功提交审核，等待审核",我要做主播,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_播放热门新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择热门新碟并播放","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功播放热门新碟",播放热门新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_播放华语新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择华语新碟并播放","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功播放华语新碟",播放华语新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_播放欧美新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择欧美新碟并播放","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功播放欧美新碟",播放欧美新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_播放韩国新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择韩国新碟并播放","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功播放韩国新碟",播放韩国新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_播放日本新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择日本新碟并播放","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功播放日本新碟",播放日本新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_评论热门新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择热门新碟并评论","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功评论热门新碟",评论热门新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_评论华语新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择华语新碟并评论","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功评论华语新碟",评论华语新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_评论欧美新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择欧美新碟并评论","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功评论欧美新碟",评论欧美新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_评论韩国新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择韩国新碟并评论","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功评论韩国新碟",评论韩国新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_评论日本新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择日本新碟并评论","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功评论日本新碟",评论日本新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_收藏热门新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择热门新碟并收藏","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功收藏热门新碟",收藏热门新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_收藏华语新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择华语新碟并收藏","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功收藏华语新碟",收藏华语新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_收藏欧美新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择欧美新碟并收藏","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功收藏欧美新碟",收藏欧美新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_收藏韩国新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择韩国新碟并收藏","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功收藏韩国新碟",收藏韩国新碟,③,功能测试,功能测试阶段,,,
,/主干/发现音乐/新碟上架(#15),网易云系统_发现音乐_新碟上架_收藏日本新碟,用户存在，且在有网络的情况下,"1.用户登录网易云
2.点击发现音乐和新碟上架 
3.选择日本新碟并收藏","1.成功进入网易云首页 
2. 弹出热门新碟和全部新碟界面
3.成功收藏日本新碟",收藏日本新碟,③,功能测试,功能测试阶段,,,
